Resumen,Tipo de Incidencia,Descripción,Prioridad,Etiquetas,Clave del padre,id del padre,Estado
T-1.1 Crear enums.prisma,Subtarea,"Definir enums: PaymentMethod, PaymentType, CheckStatus, AccountEntryType, CashBoxType, CashBoxStatus, CashBoxSessionStatus, CashBoxUserRole, CreditCardType, CreditCardBrand, CreditCardTransactionType, ClearingStatus, InstallmentStatus, PartyType.",High,tesoreria,AS-278,26764,✅
T-1.2 Crear modelo employees,Subtarea,"Prisma model employees con FK a business_parties y users.",High,tesoreria,AS-278,26764,✅
T-1.3 Crear modelo partners,Subtarea,"Prisma model partners con FK a business_parties y users.",High,tesoreria,AS-278,26764,✅
T-1.4 Crear modelo bank_accounts,Subtarea,"Prisma model bank_accounts con saldos y movimientos.",High,tesoreria,AS-278,26764,✅
T-1.5 Crear modelo bank_account_movements,Subtarea,"Prisma model bank_account_movements con balance_before/after.",High,tesoreria,AS-278,26764,✅
T-1.6 Crear modelo cash_boxes,Subtarea,"Prisma model cash_boxes con soporte multi-moneda.",High,tesoreria,AS-278,26764,✅
T-1.7 Crear modelo cash_box_sessions,Subtarea,"Prisma model cash_box_sessions con apertura/cierre/forzado.",High,tesoreria,AS-278,26764,✅
T-1.8 Crear modelo cash_box_balances,Subtarea,"Prisma model cash_box_balances @@unique([cash_box_id, currency_code]).",High,tesoreria,AS-278,26764,✅
T-1.9 Crear modelo cash_box_movements,Subtarea,"Prisma model cash_box_movements con reference_type/reference_id.",High,tesoreria,AS-278,26764,✅
T-1.10 Crear modelo cash_box_renditions,Subtarea,"Prisma model cash_box_renditions con aprobación.",High,tesoreria,AS-278,26764,✅
T-1.11 Crear modelo cash_box_user_roles,Subtarea,"Prisma model cash_box_user_roles @@unique([cash_box_id, user_id]).",High,tesoreria,AS-278,26764,✅
T-1.12 Crear modelo payments,Subtarea,"Prisma model payments con multi-moneda y payment_documents.",High,tesoreria,AS-278,26764,✅
T-1.13 Crear modelo payment_documents,Subtarea,"Prisma model payment_documents @@unique([payment_id, document_id]).",High,tesoreria,AS-278,26764,✅
T-1.14 Crear modelo checks,Subtarea,"Prisma model checks con flujo híbrido propio/terceros.",High,tesoreria,AS-278,26764,✅
T-1.15 Crear modelo credit_cards,Subtarea,"Prisma model credit_cards con comisiones y clearing.",High,tesoreria,AS-278,26764,✅
T-1.16 Crear modelo credit_card_transactions,Subtarea,"Prisma model credit_card_transactions con comisión neta.",High,tesoreria,AS-278,26764,✅
T-1.17 Crear modelo credit_card_installments,Subtarea,"Prisma model credit_card_installments con status.",High,tesoreria,AS-278,26764,✅
T-1.18 Crear modelo credit_card_summaries,Subtarea,"Prisma model credit_card_summaries mensuales.",High,tesoreria,AS-278,26764,✅
T-1.19 Crear modelo credit_card_summary_items,Subtarea,"Prisma model credit_card_summary_items.",High,tesoreria,AS-278,26764,✅
T-1.20 Crear modelo current_accounts,Subtarea,"Prisma model current_accounts @@unique([party_id, currency_code]).",High,tesoreria,AS-278,26764,✅
T-1.21 Crear modelo current_account_entries,Subtarea,"Prisma model current_account_entries con balance_before/after.",High,tesoreria,AS-278,26764,✅
T-1.22 Crear modelo cash_box_transfers,Subtarea,"Prisma model cash_box_transfers con polymorphic source/dest.",High,tesoreria,AS-278,26764,✅
T-1.23 Modificar business_parties.type,Subtarea,"Cambiar campo type de String a PartyType enum.",High,tesoreria,AS-278,26764,✅
T-1.24 Modificar documents.paid_amount,Subtarea,"Agregar campo paid_amount Decimal @default(0).",Medium,tesoreria,AS-278,26764,✅
T-1.25 Modificar users.employee_id y partner_id,Subtarea,"Agregar employee_id y partner_id a users.",Medium,tesoreria,AS-278,26764,✅
T-1.26 Ejecutar migración Prisma,Subtarea,"Ejecutar migración SQL y prisma generate.",High,tesoreria,AS-278,26764,✅
T-2.1 Crear CreateEmployeeDto,Subtarea,"DTO con first_name, last_name required.",Medium,tesoreria,AS-279,26765,✅
T-2.2 Crear EmployeesService,Subtarea,"Service con CRUD + business_party auto-create + validación tipo + duplicados + cross-DB.",High,tesoreria,AS-279,26765,✅
T-2.3 Crear EmployeesController,Subtarea,"Controller con 8 endpoints (CRUD + link/unlink).",High,tesoreria,AS-279,26765,✅
T-2.4 Crear EmployeesModule,Subtarea,"@Module con PrismaModule.",Medium,tesoreria,AS-279,26765,✅
T-2.5 Crear CreatePartnerDto,Subtarea,"DTO con first_name, last_name required.",Medium,tesoreria,AS-279,26765,✅
T-2.6 Crear PartnersService,Subtarea,"Service con CRUD + business_party auto-create + validación tipo + duplicados + cross-DB.",High,tesoreria,AS-279,26765,✅
T-2.7 Crear PartnersController,Subtarea,"Controller con 8 endpoints (CRUD + link/unlink).",High,tesoreria,AS-279,26765,✅
T-2.8 Crear PartnersModule,Subtarea,"@Module con PrismaModule.",Medium,tesoreria,AS-279,26765,✅
T-2.9 Actualizar BusinessPartiesService para PartyType,Subtarea,"Validar que type sea valor válido del enum PartyType.",Medium,tesoreria,AS-279,26765,✅
T-2.10 Crear migración datos PartyType,Subtarea,"Script SQL para convertir textos libres a enum.",Medium,tesoreria,AS-279,26765,✅
T-2.11 Crear CreateCashBoxDto,Subtarea,"DTO con name, type, responsible_id, opening_balance, max_limit, is_main.",Medium,tesoreria,AS-279,26765,✅
T-2.12 Crear CashBoxesService,Subtarea,"Service con CRUD + sesiones + balances + force-close.",High,tesoreria,AS-279,26765,✅
T-2.13 Crear CashBoxesController,Subtarea,"Controller con 12 endpoints (CRUD + sessions + balances).",High,tesoreria,AS-279,26765,✅
T-2.14 Crear CashBoxesModule,Subtarea,"@Module con PrismaModule.",Medium,tesoreria,AS-279,26765,✅
T-2.15 Crear OpenCashBoxDto,Subtarea,"DTO con opening_balance required.",Medium,tesoreria,AS-279,26765,✅
T-2.16 Crear CashBoxSessionsService,Subtarea,"Service con open, close, forceClose, getCurrentSession, getHistory.",High,tesoreria,AS-279,26765,✅
T-2.17 Agregar endpoints sesión al controller,Subtarea,"Endpoints de sesiones en CashBoxesController.",High,tesoreria,AS-279,26765,✅
T-2.18 Crear CashBoxForceCloseScheduler,Subtarea,"Scheduler para detectar sesiones olvidadas.",Medium,tesoreria,AS-279,26765,❌ Pendiente
T-2.19 Crear ForceCloseCashBoxDto,Subtarea,"DTO con actual_balance y reason required.",Medium,tesoreria,AS-279,26765,✅
T-2.20 Implementar lógica cierre forzado,Subtarea,"forceClose() con cálculo de saldo teórico.",Medium,tesoreria,AS-279,26765,✅
T-2.21 Crear CreateRenditionDto,Subtarea,"DTO con start_date, end_date, opening_balance.",Medium,tesoreria,AS-279,26765,✅
T-2.22 Crear CashBoxRenditionsService,Subtarea,"Service con generación + approve/reject.",Medium,tesoreria,AS-279,26765,✅
T-2.23 Crear endpoint POST /:id/rendition,Subtarea,"Endpoint de rendiciones.",Medium,tesoreria,AS-279,26765,✅
T-2.24 Crear CashBoxAccessGuard,Subtarea,"Guard que verifica rol de usuario en caja.",High,tesoreria,AS-279,26765,✅
T-2.25 Crear CashBoxSessionGuard,Subtarea,"Guard que verifica quién abrió sesión.",High,tesoreria,AS-279,26765,✅
T-2.26 Crear CreatePaymentDto,Subtarea,"DTO con type, date, party_id, payment_method, amount, documents[].",Medium,tesoreria,AS-279,26765,✅
T-2.27 Crear PaymentsService,Subtarea,"Service con create + validación saldo pendiente + pagos parciales + current_accounts + movimientos caja/banco.",High,tesoreria,AS-279,26765,✅
T-2.28 Crear PaymentsController,Subtarea,"Controller con CRUD + reverse.",High,tesoreria,AS-279,26765,✅
T-2.29 Crear PaymentsModule,Subtarea,"@Module con PrismaModule.",Medium,tesoreria,AS-279,26765,✅
T-4.1 Implementar deteccion conversion moneda,Subtarea,"Detectar paymentCurrency !== documentCurrency.",High,tesoreria,AS-281,26767,❌ Pendiente
T-4.2 Obtener tasas del dia,Subtarea,"ExchangeService.getLatestRate().",High,tesoreria,AS-281,26767,❌ Pendiente
T-4.3 Validar rango tasa manual,Subtarea,"Warning si diferencia > 50%.",Medium,tesoreria,AS-281,26767,❌ Pendiente
